city,latitude,longitude,2020_total_deaths,2020_ped_deaths,2020_auto_deaths,ped_share_of_total,2020_city_pop,2020_ped_deaths_per_100k,2020_auto_deaths_per_100k,2020_total_deaths_per_100k,2010_ped_deaths_per_100k,2010_auto_deaths_per_100k,2010_total_deaths_per_100k,change_ped_dead_per_100k,change_auto_dead_per_100k,change_total_dead_per_100k
"Tampa, FL",27.94742393,-82.45877838,64,14,50,21.9,"407,599",3.43,12.27,15.70,5.04,8.60,13.64,-0.32,0.43,0.15
"Tulsa, OK",36.15532684,-95.99208069,59,16,43,27.1,"403,166",3.97,10.67,14.63,1.53,9.94,11.47,1.59,0.07,0.28
"Arlington, TX",32.7355957,-97.10710907,33,7,26,21.2,"398,864",1.75,6.52,8.27,0.55,5.19,5.74,2.21,0.26,0.44
"Wichita, KS",37.68602371,-97.33557129,48,5,43,10.4,"391,731",1.28,10.98,12.25,0.78,7.05,7.84,0.63,0.56,0.56
"New Orleans, LA",29.95176315,-90.07461548,51,10,41,19.6,"389,476",2.57,10.53,13.09,0.29,7.48,7.76,7.93,0.41,0.69
"Aurora, CO",39.71293259,-104.8193588,36,10,26,27.8,"387,377",2.58,6.71,9.29,0.91,2.13,3.05,1.82,2.14,2.05
"Bakersfield, CA",35.37340546,-119.0189133,51,14,37,27.5,"385,725",3.63,9.59,13.22,2.58,4.30,6.88,0.41,1.23,0.92
"Cleveland, OH",41.50514221,-81.69145966,75,10,65,13.3,"378,589",2.64,17.17,19.81,1.77,7.07,8.84,0.49,1.43,1.24
"Anaheim, CA",33.83449173,-117.9156418,31,11,20,35.5,"353,676",3.11,5.65,8.77,1.48,3.26,4.74,1.10,0.74,0.85
"Urban Honolulu CDP, HI",21.30991936,-157.8581543,8,4,4,50,"341,555",1.17,1.17,2.34,3.54,3.54,7.08,-0.67,-0.67,-0.67
"Santa Ana, CA",33.74973679,-117.8697815,21,10,11,47.6,"331,301",3.02,3.32,6.34,1.54,1.54,3.08,0.96,1.16,1.06
"Riverside, CA",33.9805336,-117.3770218,37,8,29,21.6,"330,786",2.42,8.77,11.19,1.64,4.91,6.55,0.48,0.79,0.71
"Henderson, NV",36.03409576,-114.9844513,8,3,5,37.5,"329,172",0.91,1.52,2.43,0.39,3.11,3.50,1.35,-0.51,-0.30
"Corpus Christi, TX",27.79641533,-97.40412903,31,11,20,35.5,"327,248",3.36,6.11,9.47,2.29,3.60,5.90,0.47,0.70,0.61
"Lexington, KY",38.0463562,-84.49702454,26,6,20,23.1,"324,735",1.85,6.16,8.01,1.35,6.74,8.08,0.37,-0.09,-0.01
"Stockton, CA",37.95754242,-121.29245,31,8,23,25.8,"312,716",2.56,7.35,9.91,3.07,6.48,9.56,-0.17,0.13,0.04
"St. Paul, MN",44.94371796,-93.09428406,13,3,10,23.1,"306,717",0.98,3.26,4.24,0.70,1.05,1.75,0.40,2.10,1.42
"Cincinnati, OH",39.10369873,-84.51361084,36,8,28,22.2,"304,548",2.63,9.19,11.82,0.67,3.70,4.38,2.90,1.48,1.70
"Pittsburgh, PA",40.44216919,-79.99495697,22,4,18,18.2,"299,226",1.34,6.02,7.35,1.96,6.88,8.84,-0.32,-0.13,-0.17
"Greensboro, NC",36.0727005,-79.79389954,35,9,26,25.7,"297,878",3.02,8.73,11.75,2.23,7.79,10.01,0.36,0.12,0.17
"St. Louis, MO",38.6353569,-90.20098877,81,20,61,24.7,"297,645",6.72,20.49,27.21,3.44,10.33,13.78,0.95,0.98,0.98
"Plano, TX",33.01969528,-96.69758606,19,2,17,10.5,"291,296",0.69,5.84,6.52,0.38,3.83,4.21,0.79,0.52,0.55
"Orlando, FL",28.53833008,-81.37887573,45,11,34,24.4,"289,457",3.80,11.75,15.55,2.51,7.52,10.03,0.52,0.56,0.55
"Anchorage, AK",61.21658325,-149.8995972,15,9,6,60,"287,095",3.13,2.09,5.22,1.02,2.38,3.40,2.07,-0.12,0.53
"Durham, NC",35.99694824,-78.89902496,28,7,21,25,"285,897",2.45,7.35,9.79,1.30,5.61,6.91,0.89,0.31,0.42
"Newark, NJ",40.73150635,-74.17438507,31,7,24,22.6,"282,520",2.48,8.49,10.97,5.05,4.33,9.39,-0.51,0.96,0.17
"Chula Vista, CA",32.64007187,-117.0840454,8,3,5,37.5,"272,979",1.10,1.83,2.93,1.23,1.63,2.86,-0.10,0.12,0.02
"Fort Wayne, IN",41.07747269,-85.13749695,18,0,18,0,"272,398",0.00,6.61,6.61,0.39,3.93,4.33,-1.00,0.68,0.53
"Toledo, OH",41.65529633,-83.5357132,35,6,29,17.1,"271,455",2.21,10.68,12.89,1.74,9.06,10.80,0.27,0.18,0.19
"St. Petersburg, FL",27.77206993,-82.63848877,34,6,28,17.6,"267,802",2.24,10.46,12.70,2.04,12.23,14.27,0.10,-0.15,-0.11
"Chandler, AZ",33.30228424,-111.8401032,20,2,18,10,"265,398",0.75,6.78,7.54,0.85,3.38,4.23,-0.11,1.00,0.78
"Laredo, TX",27.50712967,-99.50749207,11,2,9,18.2,"263,640",0.76,3.41,4.17,2.53,3.80,6.33,-0.70,-0.10,-0.34
"Madison, WI",43.07392502,-89.38524628,14,2,12,14.3,"263,094",0.76,4.56,5.32,1.71,2.99,4.70,-0.56,0.52,0.13
"Jersey, NJ",40.72174249,-74.05723041,9,4,5,44.4,"262,664",1.52,1.90,3.43,3.22,2.82,6.04,-0.53,-0.32,-0.43
"Scottsdale, AZ",33.49490738,-111.9260635,29,4,25,13.8,"262,647",1.52,9.52,11.04,1.84,3.68,5.51,-0.17,1.59,1.00
"Lubbock, TX",33.58368683,-101.85495,26,4,22,15.4,"262,611",1.52,8.38,9.90,1.30,9.95,11.25,0.17,-0.16,-0.12
"North Las Vegas, NV",36.19585037,-115.1145706,7,2,5,28.6,"260,098",0.77,1.92,2.69,0.92,3.23,4.15,-0.17,-0.40,-0.35
"Reno, NV",39.52690125,-119.8132858,23,6,17,26.1,"259,290",2.31,6.56,8.87,1.33,4.87,6.20,0.74,0.35,0.43
"Gilbert town, AZ",34.29322815,-111.6645966,6,1,5,16.7,"257,658",0.39,1.94,2.33,0.48,4.30,4.77,-0.19,-0.55,-0.51
"Glendale, AZ",33.53855896,-112.1837006,49,15,34,30.6,"255,307",5.88,13.32,19.19,3.54,4.86,8.40,0.66,1.74,1.28
"Buffalo, NY",42.8876915,-78.87937164,16,3,13,18.8,"254,479",1.18,5.11,6.29,0.38,4.21,4.59,2.08,0.21,0.37
"Winston-Salem, NC",36.09626007,-80.24373627,20,1,19,5,"248,112",0.40,7.66,8.06,1.30,5.22,6.52,-0.69,0.47,0.24
"Chesapeake, VA",36.71458817,-76.24992371,12,3,9,25,"247,011",1.21,3.64,4.86,0.45,4.92,5.37,1.71,-0.26,-0.10
"Irving, TX",32.81387711,-96.94993591,14,3,11,21.4,"240,916",1.25,4.57,5.81,1.84,2.77,4.61,-0.32,0.65,0.26
"Garland, TX",32.91434479,-96.63656616,18,7,11,38.9,"238,139",2.94,4.62,7.56,1.32,1.32,2.64,1.23,2.50,1.86
"Fremont, CA",37.55020142,-121.9808273,7,2,5,28.6,"234,569",0.85,2.13,2.98,2.33,1.86,4.20,-0.63,0.14,-0.29
"Richmond, VA",37.54076004,-77.43392944,27,10,17,37,"232,226",4.31,7.32,11.63,0.98,5.38,6.36,3.40,0.36,0.83
"Hialeah, FL",25.82720184,-80.28150177,25,6,19,24,"232,027",2.59,8.19,10.77,3.99,5.32,9.31,-0.35,0.54,0.16
"Boise, ID",43.61579132,-116.2015762,11,1,10,9.1,"229,776",0.44,4.35,4.79,0.48,2.86,3.34,-0.09,0.52,0.43
"Spokane, WA",47.6590004,-117.4250259,18,7,11,38.9,"222,050",3.15,4.95,8.11,0.48,3.34,3.82,5.61,0.48,1.12
"Tacoma, WA",47.25307846,-122.4415283,18,1,17,5.6,"219,945",0.45,7.73,8.18,1.51,6.05,7.56,-0.70,0.28,0.08
"Baton Rouge, LA",30.44949341,-91.09339905,58,20,38,34.5,"219,052",9.13,17.35,26.48,3.49,10.91,14.40,1.62,0.59,0.84
"San Bernardino, CA",34.10831833,-117.2940979,45,12,33,26.7,"217,491",5.52,15.17,20.69,1.43,8.08,9.50,2.87,0.88,1.18
"Fontana, CA",34.10289383,-117.4357681,19,7,12,36.8,"216,173",3.24,5.55,8.79,1.01,3.55,4.56,2.19,0.56,0.93
"Modesto, CA",37.64073563,-121.0024338,15,9,6,60,"215,666",4.17,2.78,6.96,0.98,4.92,5.90,3.24,-0.43,0.18
"Des Moines, IA",41.58882141,-93.62030792,23,5,18,21.7,"212,312",2.36,8.48,10.83,0.49,5.36,5.85,3.83,0.58,0.85
"Fayetteville, NC",35.05441666,-78.88365936,31,13,18,41.9,"211,705",6.14,8.50,14.64,3.36,7.68,11.04,0.83,0.11,0.33
"Santa Clarita, CA",34.41414261,-118.5541916,7,0,7,0,"209,990",0.00,3.33,3.33,1.44,1.92,3.35,-1.00,0.74,-0.01
"Oxnard, CA",34.19766235,-119.1759491,5,3,2,60,"207,945",1.44,0.96,2.40,0.50,2.01,2.52,1.86,-0.52,-0.05
"Birmingham, AL",33.52285767,-86.80770874,44,9,35,20.5,"206,950",4.35,16.91,21.26,0.94,12.75,13.69,3.60,0.33,0.55
"Rochester, NY",43.15570831,-77.61254883,16,3,13,18.8,"205,225",1.46,6.33,7.80,1.43,8.56,9.99,0.02,-0.26,-0.22
"Salt Lake, UT",40.75847626,-111.8881455,25,4,21,16,"204,087",1.96,10.29,12.25,1.61,6.97,8.57,0.22,0.48,0.43
"Huntsville, AL",34.72954178,-86.58530426,26,8,18,30.8,"202,964",3.94,8.87,12.81,1.11,7.74,8.84,2.57,0.15,0.45
"Cape Coral, FL",26.63146591,-81.95975494,18,3,15,16.7,"200,972",1.49,7.46,8.96,1.94,4.52,6.46,-0.23,0.65,0.39
"Tempe, AZ",33.42552185,-111.9412537,17,5,12,29.4,"200,402",2.49,5.99,8.48,1.85,5.54,7.39,0.35,0.08,0.15
"Yonkers, NY",40.93079376,-73.89829254,10,2,8,20,"200,040",1.00,4.00,5.00,0.51,1.53,2.04,0.96,1.62,1.46
"Grand Rapids, MI",42.96546173,-85.67017365,14,5,9,35.7,"200,031",2.50,4.50,7.00,2.66,4.26,6.92,-0.06,0.06,0.01
"Amarillo, TX",35.20700836,-101.832016,24,4,20,16.7,"199,654",2.00,10.02,12.02,1.05,8.37,9.41,0.92,0.20,0.28
"Little Rock, AR",34.74874496,-92.27510834,43,20,23,46.5,"197,866",10.11,11.62,21.73,2.06,9.28,11.34,3.90,0.25,0.92
"Glendale, CA",34.14813614,-118.2464371,3,2,1,66.7,"197,747",1.01,0.51,1.52,1.56,1.56,3.13,-0.35,-0.68,-0.52
"Augusta, GA",33.47249222,-81.96439362,27,10,17,37,"197,468",5.06,8.61,13.67,1.53,7.13,8.66,2.32,0.21,0.58
"Overland Park, KS",38.97481918,-94.68360138,7,3,4,42.9,"197,381",1.52,2.03,3.55,0.57,4.02,4.60,1.65,-0.50,-0.23
"Columbus, GA",32.46668243,-84.99040222,17,7,10,41.2,"196,442",3.56,5.09,8.65,0.52,5.76,6.28,5.81,-0.12,0.38
"Aurora, IL",41.7552681,-88.30950928,12,2,10,16.7,"196,383",1.02,5.09,6.11,0.50,1.01,1.51,1.02,4.05,3.04
"Tallahassee, FL",30.44074059,-84.27832794,24,7,17,29.2,"196,326",3.57,8.66,12.22,2.76,6.06,8.82,0.29,0.43,0.39
"Montgomery, AL",32.37654114,-86.29965973,25,8,17,32,"196,268",4.08,8.66,12.74,0.49,3.40,3.89,7.38,1.54,2.27
"Akron, OH",41.08481979,-81.51560974,29,4,25,13.8,"195,994",2.04,12.76,14.80,1.01,4.52,5.53,1.03,1.82,1.68
"Grand Prairie, TX",32.74549484,-97.00353241,17,3,14,17.6,"195,272",1.54,7.17,8.71,1.14,8.53,9.66,0.35,-0.16,-0.10
"Knoxville, TN",35.96264267,-83.91672516,30,5,25,16.7,"190,223",2.63,13.14,15.77,2.24,15.15,17.39,0.17,-0.13,-0.09
"Sioux Falls, SD",43.54730988,-96.73130035,16,4,12,25,"187,809",2.13,6.39,8.52,0.65,0.65,1.29,2.29,8.87,5.58
"Mobile, AL",30.68894386,-88.04482269,28,5,23,17.9,"187,746",2.66,12.25,14.91,4.11,10.79,14.90,-0.35,0.14,0.00
"Vancouver, WA",45.63106155,-122.6715698,15,7,8,46.7,"186,192",3.76,4.30,8.06,1.79,4.18,5.97,1.10,0.03,0.35
"Shreveport, LA",32.51425171,-93.74777222,31,8,23,25.8,"184,786",4.33,12.45,16.78,1.99,7.94,9.93,1.18,0.57,0.69
"Chattanooga, TN",35.04575729,-85.30828857,34,2,32,5.9,"184,742",1.08,17.32,18.40,0.59,13.48,14.07,0.85,0.28,0.31
"Worcester, MA",42.26211929,-71.80223846,6,2,4,33.3,"184,570",1.08,2.17,3.25,0.55,5.50,6.05,0.97,-0.61,-0.46
"Fort Lauderdale, FL",26.12416267,-80.14358521,34,10,24,29.4,"184,245",5.43,13.03,18.45,7.21,9.02,16.23,-0.25,0.44,0.14
"Brownsville, TX",25.90304565,-97.49888611,8,3,5,37.5,"183,428",1.64,2.73,4.36,2.86,5.14,8.00,-0.43,-0.47,-0.45
"Ontario, CA",34.06335068,-117.6523972,20,6,14,30,"183,393",3.27,7.63,10.91,0.61,6.69,7.30,4.38,0.14,0.49
"Peoria, AZ",33.57508469,-112.2373123,12,3,9,25,"179,872",1.67,5.00,6.67,1.29,2.58,3.87,0.29,0.94,0.72
"Providence, RI",41.82446289,-71.41275024,12,3,9,25,"179,270",1.67,5.02,6.69,2.81,4.49,7.30,-0.40,0.12,-0.08
"Newport News, VA",36.97771454,-76.43035126,22,3,19,13.6,"179,062",1.68,10.61,12.29,1.66,4.97,6.63,0.01,1.13,0.85
"Elk Grove, CA",38.41813278,-121.3932571,5,1,4,20,"177,302",0.56,2.26,2.82,0.65,5.21,5.87,-0.13,-0.57,-0.52
"Salem, OR",44.93901443,-123.0393066,12,3,9,25,"175,891",1.71,5.12,6.82,0.64,4.51,5.15,1.65,0.13,0.32
"Oceanside, CA",33.19590759,-117.3795166,15,7,8,46.7,"174,648",4.01,4.58,8.59,1.19,3.57,4.76,2.37,0.28,0.80
"Santa Rosa, CA",38.43969727,-122.7156448,7,1,6,14.3,"174,613",0.57,3.44,4.01,0.57,1.71,2.28,0.00,1.01,0.76
"Eugene, OR",44.05215454,-123.0911942,5,3,2,60,"173,236",1.73,1.15,2.89,2.56,1.28,3.83,-0.32,-0.10,-0.25
"Garden Grove, CA",33.77606964,-117.9378815,10,3,7,30,"171,366",1.75,4.08,5.84,1.75,1.17,2.92,0.00,2.49,1.00
"Corona, CA",33.87566376,-117.56884,15,3,12,20,"170,996",1.75,7.02,8.77,0.65,3.27,3.92,1.68,1.15,1.24
"Springfield, MO",37.21552277,-93.2923584,29,6,23,20.7,"168,090",3.57,13.68,17.25,2.51,10.04,12.55,0.42,0.36,0.37
"Jackson, MS",32.30289841,-90.18348694,53,15,38,28.3,"157,821",9.50,24.08,33.58,2.88,10.36,13.24,2.30,1.32,1.54
"Lancaster, CA",34.69747162,-118.1445236,28,8,20,28.6,"155,822",5.13,12.84,17.97,1.91,3.82,5.74,1.69,2.36,2.13
"Salinas, CA",36.67677307,-121.6564636,7,5,2,71.4,"154,868",3.23,1.29,4.52,0.66,2.65,3.32,3.87,-0.51,0.36
"Macon-Bibb County, GA",32.8360939,-83.63165283,29,7,22,24.1,"152,737",4.58,14.40,18.99,4.49,7.06,11.55,0.02,1.04,0.64
"Springfield, MA",42.10205078,-72.58575439,12,1,11,8.3,"152,646",0.66,7.21,7.86,1.95,1.30,3.26,-0.66,4.53,1.41
"Palmdale, CA",34.57646942,-118.1161041,26,6,20,23.1,"150,498",3.99,13.29,17.28,1.31,2.62,3.93,2.05,4.08,3.40
